Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.14504,41.40303,New! Bright 2bed easily connected to the center,Spain,94.0,Entire home/apt,9.0
2.16417,41.39902,"GRACIA SUITE, cozy 1 bedroom apt, great location",Spain,49.0,Entire home/apt,8.0
2.14544,41.37094,Piso 3 habitaciones con encanto en Fuente Mágica,Spain,80.0,Entire home/apt,9.0
2.21416,41.40968,"Terrace, sea view at Diagonal Mar!",Spain,190.0,Entire home/apt,10.0
2.1749,41.40102,GAUDI:50 m from the Sagrada Familia,Spain,80.0,Entire home/apt,9.0
2.1747,41.39243,Exquisite apt. Open space and plently of light,Spain,150.0,Entire home/apt,10.0
2.1663,41.38394,RAMBLAS 1,Spain,100.0,Entire home/apt,7.0
2.17557,41.38123,Las Ramblas Penthouse Apartment,Spain,130.0,Entire home/apt,10.0
2.17855,41.38164,Gignas Studio Apartment,Spain,41.0,Entire home/apt,9.0
2.17331,41.39985,DUPLEX DELUX APARTMENT SAGRADA FAMILIA,Spain,55.0,Entire home/apt,9.0
2.17539,41.38126,On The Ramblas 5 Studio Apartment,Spain,80.0,Entire home/apt,8.0
2.15063,41.40447,Enchanted Gràcia Loft with a Patio,Spain,129.0,Entire home/apt,9.0
2.20117,41.40255,Blackandwhitehome Poble Nou Attic I,Spain,135.0,Entire home/apt,9.0
2.17552,41.37998,On The Ramblas 4 Studio Apartment,Spain,80.0,Entire home/apt,8.0
2.16624,41.38319,"2641 - AB Premium Old Town E-2 - Modern, 2-bedroom Old Town apartment close to Las Ramblas and Plaça de Catalunya",Spain,63.0,Entire home/apt,9.0
2.19483,41.3942,"Sunny and spacious loft, close to beach",Spain,85.0,Entire home/apt,10.0
2.17636,41.40547,Piso de lujo en Sagrada Familia,Spain,79.0,Entire home/apt,9.0
2.18089,41.39684,Vintage apartment,Spain,100.0,Entire home/apt,9.0
2.17585,41.38406,Smart Studio next to El Born,Spain,40.0,Entire home/apt,9.0
2.14007,41.41128,Charmy 3 bedrooms apartment in Sarrià-Sant Gervasi,Spain,35.0,Entire home/apt,9.0
2.14352,41.38702,"Cozy seasonal apartment in  Eixample, city center.",Spain,120.0,Entire home/apt,9.0
2.17736,41.41175,Hospital Sant Pau Apartamento 2 habitaciones,Spain,55.0,Entire home/apt,9.0
2.14098,41.38121,Cute Eixample Apartment.  HUTB-005692,Spain,130.0,Entire home/apt,9.0
2.1386,41.39382,"Privacidad, silencio, buena comunicación...",Spain,30.0,Entire home/apt,10.0
2.17146,41.39603,2714 - AB Girona Apartment 41 - Stylish Apartment for up to 7 guests in Eixample with a Balcony,Spain,700.0,Entire home/apt,8.0
2.17096,41.39726,2675 - AB Bailen Apartment 3.1 - Modern 2-bedroom Apartment in Eixample with a balcony,Spain,600.0,Entire home/apt,8.0
2.16562,41.39629,2 Luxury bedroom apartment,Spain,200.0,Entire home/apt,9.0
2.17282,41.40669,FANTASTIC APARTMENT SAGRADA FAMILIA,Spain,95.0,Entire home/apt,9.0
