Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating,Host_Name,No_Of_BedRooms,No_Of_BathRooms,No_Of_Beds
2.1805,41.41756,Habitación cerca a Sagrada Familia,Spain,18.0,Private room,8.0,Francisco,1.0,1.0,1.0
2.16673,41.38789,Room A4,Spain,79.0,Private room,9.0,Sam,1.0,1.5,3.0
2.19918,41.39715,Cozy Room near the Beach and 10 min away city cent,Spain,50.0,Private room,9.0,Carlos,1.0,1.5,1.0
2.17696,41.37818,(inRAMBLAS) 1double room! Historic center,Spain,68.0,Private room,9.0,Jorge,1.0,1.0,2.0
2.16078,41.38334,Central 3 Beds + Breakfast & Balcony (3A),Spain,40.0,Private room,9.0,Charly,1.0,1.0,2.0
2.14306,41.38186,Big double room with private bathroom,Spain,55.0,Private room,9.0,Angel,1.0,1.0,1.0
2.19975,41.40125,"Nice room, Lovely apartment next to the beach",Spain,44.0,Private room,9.0,Jor,1.0,1.0,1.0
2.18358,41.38484,Habitación doble en el centro de la ciudad,Spain,47.0,Private room,9.0,Yanina,1.0,1.0,1.0
2.14741,41.37974,Apartamento Céntrico,Spain,50.0,Private room,6.0,Lara,1.0,1.0,1.0
2.13289,41.41021,Beautiful room at Tibidabbo,Spain,17.0,Private room,10.0,Chris,1.0,2.0,1.0
2.20945,41.41948,el Besos y el Maresme,Spain,35.0,Private room,9.0,Natia,1.0,1.0,1.0
2.17877,41.41463,Double room & private toilet near Sagrada Familia,Spain,29.0,Private room,10.0,Eduard,1.0,2.0,1.0
2.15149,41.38471,"Piso en el centro,  habitación individual,",Spain,45.0,Private room,10.0,Mirla,1.0,1.0,1.0
2.1697,41.38471,Blue Room With Balcony Barcelona Rambla,Spain,55.0,Private room,9.0,Diana,1.0,1.0,1.0
2.18758,41.41355,Double room + Private Bathroom / Sagrada Familia,Spain,40.0,Private room,9.0,Francisco F,1.0,1.0,1.0
2.1454,41.39273,Habitación espaciosa y elegante con AC y baño,Spain,80.0,Private room,10.0,Helena,1.0,1.0,1.0
2.17579,41.379,Habitación doble en pleno barrio gótico,Spain,53.0,Private room,9.0,Daniela Carina,1.0,2.0,1.0
2.18038,41.38683,Cosy Loft in the Heart of Borne,Spain,70.0,Private room,8.0,Anna,1.0,1.0,2.0
2.21656,41.41263,Secret room2,Spain,20.0,Private room,8.0,Sergio,1.0,1.0,1.0
2.18066,41.39332,The Best point to Enjoy Barcelona,Spain,35.0,Private room,9.0,Leonor,1.0,1.0,2.0
2.1746,41.38634,Double room only for pet lovers!,Spain,65.0,Private room,10.0,Stephanie,1.0,1.0,1.0
2.21576,41.41612,El hogar de Gabi.,Spain,30.0,Private room,10.0,Gabriel,1.0,1.0,1.0
2.17668,41.3872,Lovely room in Born,Spain,45.0,Private room,10.0,Makka,1.0,1.5,1.0
2.16108,41.37541,Excellent room for 2 in Barcelona,Spain,50.0,Private room,9.0,Victor,1.0,2.0,1.0
2.17317,41.38848,SUNNY DELIGHT ❤ double bedroom + balcony,Spain,60.0,Private room,10.0,Roberto,1.0,1.0,1.0
2.2145,41.41214,Double room in Diagonal Mar.  Close to the beach.,Spain,65.0,Private room,9.0,Ana Cecilia,1.0,1.0,1.0
2.17466,41.3781,piso céntrico de Barcelona,Spain,32.0,Private room,9.0,Preet,1.0,1.0,1.0
2.17952,41.38427,Single Room with Balcony in Center,Spain,27.0,Private room,10.0,Vi,1.0,1.5,1.0
2.0978,41.33371,SINGLE ROOM NEAR THE AIRPORT,Spain,22.0,Private room,8.0,Montserrat,1.0,1.0,1.0
2.14869,41.39592,Nice room centr 6,Spain,35.0,Private room,9.0,Olí,1.0,1.0,1.0
2.145,41.37794,Room in shared apartment,Spain,25.0,Private room,9.0,Sergi,1.0,2.0,1.0
2.16621,41.38395,Big comfortable room in BCN city center,Spain,49.0,Private room,9.0,Nora,1.0,1.0,1.0
2.15698,41.38266,Lovely & cozy double room in the heart of BCN,Spain,53.0,Private room,9.0,Alfred,1.0,1.0,2.0
2.16097,41.41465,Sweet room near to parc güell,Spain,22.0,Private room,9.0,Lola,1.0,1.0,2.0
2.15555,41.39634,Best location double room,Spain,27.0,Private room,9.0,Cecilia,1.0,1.0,2.0
2.1818,41.38763,"Cosy and bright double room. El Born, Barcelona.",Spain,35.0,Private room,9.0,Pedro,1.0,1.0,1.0
2.17964,41.38919,habitacion 2 en el barrio del borne de  barcelona,Spain,36.0,Private room,8.0,Juan Ramon,1.0,1.0,1.0
2.17968,41.38982,habitacion 1 en el barrio del borne barcelona,Spain,36.0,Private room,8.0,Juan Ramon,1.0,1.0,1.0
