Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.15653,41.41861,2458 - AB Park Güell Apartment 4-3 - Wonderful 3-Bedroom Apartment near Park Güell with a Balcony,Spain,350.0,Entire home/apt,8.0
2.17851,41.40943,One-Bedroom Apartment with Balcony,Spain,75.0,Entire home/apt,8.0
2.18339,41.38499,Stunning vintage room with AC (old town),Spain,65.0,Private room,10.0
2.17691,41.40525,Wonderful double-room centrally located,Spain,26.0,Private room,10.0
2.1724,41.40648,Hermoso Apartamento SPBP22388,Spain,70.0,Entire home/apt,9.0
2.14085,41.37464,Double room(close to airport and center),Spain,38.0,Private room,9.0
2.1527,41.4258,ROOM SWEET ROOM. only 25 min from the center.,Spain,23.0,Private room,10.0
2.16073,41.39542,Atico en Paseo de Gracia,Spain,106.0,Entire home/apt,8.0
2.16472,41.40411,Sagrada Familia - Comfortable and cosy double room,Spain,60.0,Private room,10.0
2.15816,41.38974,MODERNIST AND LUXURIOUS FLAT IN IDYLLIC LOCATION,Spain,74.0,Entire home/apt,9.0
2.1617,41.39866,Piso muy céntrico en Gràcia,Spain,25.0,Private room,9.0
2.15059,41.37897,Private room with double bed next to Plaza Espana,Spain,37.0,Private room,9.0
2.17323,41.38797,WONDERFUL SPACIOUS DOBLE ROOM IN BARCELONA CENTER,Spain,40.0,Private room,9.0
2.1588,41.38829,Beautiful apartment in the center,Spain,100.0,Entire home/apt,10.0
2.16632,41.40419,Acogedor alojamiento en SAGRADA FAMILIA,Spain,29.0,Private room,10.0
2.16072,41.406,Cosy Double Room in a bright flat!,Spain,70.0,Private room,9.0
2.14983,41.38533,Private room in L'eixample,Spain,22.0,Private room,9.0
2.18328,41.38321,Comfortable room 5 minutes from the beach,Spain,50.0,Private room,9.0
2.17489,41.38391,Bright & Charming loft in the Gothic Quarter,Spain,46.0,Entire home/apt,9.0
2.15207,41.40124,"Double room, livingroom and terrace",Spain,25.0,Private room,10.0
2.13769,41.3646,Luminous Vintage Room near Plaza España,Spain,25.0,Private room,9.0
2.15266,41.40163,Habitación privada en el corazón de Gracia,Spain,30.0,Private room,10.0
2.18479,41.40548,Amazing single room in Sagrada Familia area!!,Spain,30.0,Private room,10.0
