Name,Country,Price,Room_Type,Review_Rating
AMAZING PENTHOUSE IN BARCELONA,Spain,56,Entire home/apt,9
Beautiful Flat with Private Terrace in Barceloneta,Spain,55,Entire home/apt,10
Hospital Sant Pau Apartamento 2 habitaciones,Spain,55,Entire home/apt,9
1889 - AB Montserrat Comfort Apartment 4 -1 - Comfortable 2-Bedroom Apartment with a Balcony in a Quiet Neighbourhood,Spain,55,Entire home/apt,10
PRIVATE ROOFTOP WITH VIEWS,Spain,55,Entire home/apt,9
Apartamento en casco antiguo,Spain,55,Entire home/apt,9
DUPLEX DELUX APARTMENT SAGRADA FAMILIA,Spain,55,Entire home/apt,9
Pablo house,Spain,54,Entire home/apt,9
Chic & Fashion. EIXAMPLE.,Spain,53,Entire home/apt,9
Large flat in Sagrada Familia private garden.6 pax,Spain,53,Entire home/apt,9
Eixample Apartamento En Barcelona 4 2,Spain,53,Entire home/apt,9
HOMEnFUN Sants close to the Train station,Spain,52,Entire home/apt,7
Apartment Eixample Sants Station,Spain,50,Entire home/apt,10
SWEET HOME NEXT TO SAGRADA FAMILIA,Spain,50,Entire home/apt,9
Sagrada Familia up to 6!!,Spain,50,Entire home/apt,9
Experience Local Living in Well-Connected Beach Retreat,Spain,50,Entire home/apt,9
Charming apartment in Gracia,Spain,50,Entire home/apt,9
"GRACIA SUITE, cozy 1 bedroom apt, great location",Spain,49,Entire home/apt,8
Fiona,Spain,47,Entire home/apt,9
Bright & Charming loft in the Gothic Quarter,Spain,46,Entire home/apt,9
2-bedroom apartment in the Old Town,Spain,46,Entire home/apt,9
Perfectly located 2-bedroom place near Ramblas,Spain,46,Entire home/apt,9
Apartment Salva - 3 bedroom in Poble Sec,Spain,46,Entire home/apt,10
Nice apartment near Camp Nou - A/C and Wifi,Spain,45,Entire home/apt,9
Cozy Apartment Las Ramblas,Spain,45,Entire home/apt,10
"1Family Vacation Suite RAMBL Street, Port of Colom",Spain,45,Entire home/apt,9
Studio 12 square meters(penthouse),Spain,45,Entire home/apt,9
Comfortable Apartment Sant Antoni area for months,Spain,45,Entire home/apt,10
Charming stylish loft  - Sagrada familia,Spain,45,Entire home/apt,9
What a place in Barcelona in the center,Spain,43,Entire home/apt,9
2-2 Design apartment close to sagrada familia,Spain,42,Entire home/apt,9
Rambla I - Plaça Catalunya,Spain,41,Entire home/apt,7
3-Bedroom Apartment With Big Terrace,Spain,41,Entire home/apt,9
Gignas Studio Apartment,Spain,41,Entire home/apt,9
Smart Studio next to El Born,Spain,40,Entire home/apt,9
Acogedor apartamento con vistas a toda Barcelona,Spain,40,Entire home/apt,9
Ideal apartment for families. With gorgeous views,Spain,40,Entire home/apt,9
× BARCELONA RAMBLAS PLAZA REAL ×,Spain,39,Entire home/apt,9
×× BARCELONA RAMBLAS PLAZA REAL ××,Spain,39,Entire home/apt,9
¤¤Barrio Gótico de Barcelona,Spain,39,Entire home/apt,8
