Name,Country,Price,Review_Rating
Beautiful and bright flat in Born Barcelona,Spain,67,10
Mestral Mar Doble hab. 5-6,Spain,66,8
Habitacion Hermosa. Beautiful room in Barceloneta,Spain,65,10
1 or 2 rooms with private terrace in shared flat,Spain,65,10
Double room in Diagonal Mar.  Close to the beach.,Spain,65,9
Stunning vintage room with AC (old town),Spain,65,10
Double room only for pet lovers!,Spain,65,10
ELEGANT APARTMENT CLOSE TO RAMBLAS,Spain,65,9
THE MOST CENTRAL LOCATION OF THE City! PL1,Spain,65,7
"2641 - AB Premium Old Town E-2 - Modern, 2-bedroom Old Town apartment close to Las Ramblas and Plaça de Catalunya",Spain,63,9
5*Super host Apartment+terrace  8 min from Ramblas,Spain,63,10
"Dover 42, Friendly Rentals",Spain,62,8
AMAZING VIEWS PENTHOUSE PARK GUELL,Spain,61,8
Nice apartment in Plaça Reial for long stay,Spain,60,9
Lovely room in design apartment in Plaza España,Spain,60,10
Sagrada Familia Gaudi,Spain,60,9
SUNNY DELIGHT ❤ double bedroom + balcony,Spain,60,10
2633 - AB Barceloneta - Artistic Style Apartment - Beachside apartment for 2 with balcony and WiFi,Spain,60,9
Sagrada Familia - Comfortable and cosy double room,Spain,60,10
Enrique's private room,Spain,60,10
Lovely room with the best location ever!,Spain,60,9
Beautiful Apartment Sagrada Familia SPB332388,Spain,60,9
Habitación Gayfriendly l'Eixample,Spain,60,9
"Private, double room in Barcelona",Spain,60,9
"piso bonito, muy centrico",Spain,60,10
Nice stay in Gracia,Spain,60,10
Private Room & King Size Bed (Eixample),Spain,60,9
Spanish family host U/private WC,Spain,60,10
Apartment next to Las Ramblas and Paral·lel,Spain,60,8
Estudio en el casco antiguo. Alquiler mensual,Spain,60,9
SUPER Central location!!! P3,Spain,60,9
Amplio y luminoso.,Spain,60,10
NEW! Piso Premium en Ps de Gracia!,Spain,60,10
6th floor very sunny flat,Spain,60,9
2BLE ROOM W. PRIVATE BATHROOM BCN,Spain,60,9
"Dali IV, Friendly Rentals",Spain,60,8
GRACE BEAUTIFUL LOFT IN BARCELONA-At least 32 days,Spain,60,7
Rustic Gaudí - Sagrada Família,Spain,59,9
ruhige Wohnung mit WLAN in Barcelona,Spain,59,9
CITY CENTER FLAT WITH VIEW TERRACE,Spain,59,9
My house is your house - goodvibes only (balcony),Spain,59,9
Amazing place in Barcelona centre,Spain,59,9
"Elegant studio in old town Barcelona, El Gothic",Spain,58,10
great Terrace&lift city center,Spain,58,8
GENIAL APARTAMENTO EN SANTS (BHM2-3564),Spain,57,9
Private terrace and bathroom & WiFi,Spain,57,10
2 habitaciones en piso bonito y bien situado,Spain,56,9
AMAZING PENTHOUSE IN BARCELONA,Spain,56,9
DUPLEX DELUX APARTMENT SAGRADA FAMILIA,Spain,55,9
Double Bedroom in shared Apt by Boqueria & Ramblas,Spain,55,9
Big double room with private bathroom,Spain,55,9
Beautiful Flat with Private Terrace in Barceloneta,Spain,55,10
1889 - AB Montserrat Comfort Apartment 4 -1 - Comfortable 2-Bedroom Apartment with a Balcony in a Quiet Neighbourhood,Spain,55,10
Room “Elegance” in Barcelona centrum.,Spain,55,9
Hospital Sant Pau Apartamento 2 habitaciones,Spain,55,9
Beautiful room in Modernist House,Spain,55,9
Apartamento en casco antiguo,Spain,55,9
Room with private bathroom.,Spain,55,9
BCN center / balcony - ensuite bathroom,Spain,55,10
Blue Room With Balcony Barcelona Rambla,Spain,55,9
PRIVATE ROOFTOP WITH VIEWS,Spain,55,9
Pablo house,Spain,54,9
Lovely & cozy double room in the heart of BCN,Spain,53,9
Eixample Apartamento En Barcelona 4 2,Spain,53,9
Large flat in Sagrada Familia private garden.6 pax,Spain,53,9
Chic & Fashion. EIXAMPLE.,Spain,53,9
Habitación doble en pleno barrio gótico,Spain,53,9
Large and bright room near the beach - Poblenou,Spain,52,10
HOMEnFUN Sants close to the Train station,Spain,52,7
Habitación centro example,Spain,51,9
Romantic room with amazing terrace in the center,Spain,51,10
2#Double Suite with bathroom A/C,Spain,50,10
